trial,block,snr_level,vowel,questtype,respside,response,cv_fold,role
0,1,4,2,4,2,0,0,gen_cond
1,1,6,1,1,1,1,0,gen_cond
2,1,3,2,2,2,0,0,gen_cond
3,1,2,2,2,2,0,0,gen_cond
4,1,7,2,3,1,1,0,train_cond
5,1,4,1,2,2,0,0,gen_cond
6,1,4,2,3,1,1,0,gen_cond
7,1,5,1,2,2,0,0,gen_cond
8,1,6,1,4,2,0,0,gen_cond
9,1,5,1,3,2,2,0,gen_cond
10,1,7,1,2,2,0,0,train_cond
11,1,5,2,4,2,0,0,gen_cond
12,1,7,1,1,2,2,0,train_cond
13,1,5,2,3,1,1,0,gen_cond
14,1,4,2,1,2,2,0,gen_cond
15,1,7,1,4,2,0,0,train_cond
16,1,5,1,1,2,2,0,gen_cond
17,1,3,2,4,2,0,0,gen_cond
18,1,6,2,4,2,0,0,gen_cond
19,1,6,1,3,1,1,0,gen_cond
20,1,4,1,4,2,0,0,gen_cond
21,1,3,2,3,2,2,0,gen_cond
22,1,3,1,3,2,2,0,gen_cond
23,1,2,1,2,2,0,0,gen_cond
24,1,1,1,1,2,2,0,train_cond
25,1,7,2,4,2,0,0,train_cond
26,1,6,2,1,1,1,0,gen_cond
27,1,1,2,2,2,0,0,train_cond
28,1,1,1,3,2,2,0,train_cond
29,1,4,2,2,2,0,0,gen_cond
30,1,1,2,4,2,0,0,train_cond
31,1,4,1,1,2,4,0,gen_cond
32,1,2,1,1,1,1,0,gen_cond
33,1,2,2,1,1,1,0,gen_cond
34,1,3,1,4,2,0,0,gen_cond
35,1,2,2,4,2,0,0,gen_cond
36,1,7,2,2,2,0,0,train_cond
37,1,3,1,2,2,0,0,gen_cond
38,1,1,1,2,2,0,0,train_cond
39,1,6,2,2,2,0,0,gen_cond
40,1,2,2,3,2,2,0,gen_cond
41,1,7,1,3,2,2,0,train_cond
42,1,3,2,1,2,2,0,gen_cond
43,1,6,1,2,2,0,0,gen_cond
44,1,5,2,2,2,0,0,gen_cond
45,1,4,1,3,1,3,0,gen_cond
46,1,6,2,3,2,2,0,gen_cond
47,1,3,1,1,2,2,0,gen_cond
48,1,5,2,1,1,1,0,gen_cond
49,1,1,2,1,1,1,0,train_cond
50,1,1,2,3,1,1,0,train_cond
51,1,7,2,1,1,1,0,train_cond
52,1,5,1,4,2,0,0,gen_cond
53,2,5,2,3,1,3,0,gen_cond
54,2,7,1,1,1,1,0,train_cond
55,2,6,1,2,2,0,0,gen_cond
56,2,6,1,1,2,2,0,gen_cond
57,2,6,2,1,1,1,0,gen_cond
58,2,5,1,2,2,0,0,gen_cond
59,2,4,1,3,1,1,0,gen_cond
60,2,4,2,2,2,0,0,gen_cond
61,2,6,1,4,2,0,0,gen_cond
62,2,5,2,1,1,1,0,gen_cond
63,2,6,2,3,2,2,0,gen_cond
64,2,5,1,3,2,2,0,gen_cond
65,2,5,2,4,2,0,0,gen_cond
66,2,4,2,4,2,0,0,gen_cond
67,2,3,2,3,2,2,0,gen_cond
68,2,1,1,4,2,0,0,train_cond
69,2,1,2,2,2,0,0,train_cond
70,2,1,2,3,2,2,0,train_cond
71,2,2,1,4,2,0,0,gen_cond
72,2,7,2,1,1,1,0,train_cond
73,2,5,1,4,2,0,0,gen_cond
74,2,7,1,4,2,0,0,train_cond
75,2,3,2,4,2,0,0,gen_cond
76,2,7,1,3,2,2,0,train_cond
77,2,1,1,2,2,0,0,train_cond
78,2,1,2,1,2,4,0,train_cond
79,2,1,1,3,2,2,0,train_cond
80,2,3,1,3,2,2,0,gen_cond
81,2,4,2,1,2,2,0,gen_cond
82,2,6,2,2,2,0,0,gen_cond
83,2,7,1,2,2,0,0,train_cond
84,2,3,2,1,1,3,0,gen_cond
85,2,2,2,1,1,1,0,gen_cond
86,2,4,2,3,2,2,0,gen_cond
87,2,2,2,2,2,0,0,gen_cond
88,2,2,1,1,2,2,0,gen_cond
89,2,1,1,1,2,2,0,train_cond
90,2,3,1,1,2,2,0,gen_cond
91,2,2,1,3,2,2,0,gen_cond
92,2,2,2,4,2,0,0,gen_cond
93,2,7,2,3,2,2,0,train_cond
94,2,5,2,2,2,0,0,gen_cond
95,2,3,1,4,2,0,0,gen_cond
96,2,4,1,1,2,2,0,gen_cond
97,2,1,2,4,2,0,0,train_cond
98,2,2,2,3,2,2,0,gen_cond
99,2,6,1,3,2,2,0,gen_cond
100,2,2,1,2,2,0,0,gen_cond
101,2,3,1,2,2,0,0,gen_cond
102,2,6,2,4,2,0,0,gen_cond
103,2,7,2,2,2,0,0,train_cond
104,2,7,2,4,2,0,0,train_cond
105,2,3,2,2,2,0,0,gen_cond
106,2,4,1,2,2,0,0,gen_cond
107,2,5,1,1,2,2,0,gen_cond
108,3,1,1,3,1,1,0,train_cond
109,3,2,1,2,2,0,0,gen_cond
110,3,4,2,2,2,0,1,gen_cond
111,3,5,1,4,2,0,1,gen_cond
112,3,7,2,2,2,0,1,train_cond
113,3,5,2,3,1,3,1,gen_cond
114,3,3,2,3,2,2,1,gen_cond
115,3,4,2,1,2,2,1,gen_cond
116,3,6,2,2,2,0,1,gen_cond
117,3,4,2,3,2,2,1,gen_cond
118,3,7,1,2,2,0,1,train_cond
119,3,5,1,3,2,2,1,gen_cond
120,3,6,1,3,2,2,1,gen_cond
121,3,7,2,4,2,0,1,train_cond
122,3,6,2,3,2,2,1,gen_cond
123,3,4,1,4,2,0,1,gen_cond
124,3,5,2,1,2,2,1,gen_cond
125,3,7,1,3,2,2,1,train_cond
126,3,4,2,4,2,0,1,gen_cond
127,3,1,2,4,2,0,1,train_cond
128,3,2,1,4,2,0,1,gen_cond
129,3,6,1,1,2,4,1,gen_cond
130,3,1,2,2,2,0,1,train_cond
131,3,7,1,4,2,0,1,train_cond
132,3,5,1,2,2,0,1,gen_cond
133,3,1,1,4,2,0,1,train_cond
134,3,7,2,3,2,2,1,train_cond
135,3,1,1,2,2,0,1,train_cond
136,3,1,2,3,2,2,1,train_cond
137,3,3,1,2,2,0,1,gen_cond
138,3,2,1,1,1,3,1,gen_cond
139,3,3,2,1,2,2,1,gen_cond
140,3,3,2,2,2,0,1,gen_cond
141,3,7,1,1,2,2,1,train_cond
142,3,3,1,3,2,2,1,gen_cond
143,3,3,2,4,2,0,1,gen_cond
144,3,6,2,4,2,0,1,gen_cond
145,3,1,1,1,1,1,1,train_cond
146,3,4,1,2,2,0,1,gen_cond
147,3,4,1,3,1,1,1,gen_cond
148,3,4,1,1,1,1,1,gen_cond
149,3,2,1,3,1,1,1,gen_cond
150,3,2,2,2,2,0,1,gen_cond
151,3,2,2,1,1,1,1,gen_cond
152,3,6,1,2,2,0,1,gen_cond
153,3,3,1,4,2,0,1,gen_cond
154,3,6,1,4,2,0,1,gen_cond
155,3,2,2,3,2,2,1,gen_cond
156,3,3,1,1,2,2,1,gen_cond
157,3,7,2,1,2,2,1,train_cond
158,3,5,2,2,2,0,1,gen_cond
159,3,6,2,1,1,1,1,gen_cond
160,3,2,2,4,2,0,1,gen_cond
161,3,5,2,4,2,0,1,gen_cond
162,3,5,1,1,1,1,1,gen_cond
163,3,1,2,1,1,1,1,train_cond
164,4,3,1,3,2,2,1,gen_cond
165,4,3,2,1,1,1,1,gen_cond
166,4,4,1,4,2,0,1,gen_cond
167,4,2,1,4,2,0,1,gen_cond
168,4,2,2,3,1,3,1,gen_cond
169,4,6,2,1,1,1,1,gen_cond
170,4,7,2,1,2,2,1,train_cond
171,4,5,2,4,2,0,1,gen_cond
172,4,2,1,1,2,2,1,gen_cond
173,4,3,2,4,2,0,1,gen_cond
174,4,6,2,3,1,1,1,gen_cond
175,4,2,2,1,2,2,1,gen_cond
176,4,3,2,3,2,2,1,gen_cond
177,4,3,1,2,2,0,1,gen_cond
178,4,5,2,2,2,0,1,gen_cond
179,4,4,1,3,2,2,1,gen_cond
180,4,5,1,2,2,0,1,gen_cond
181,4,2,1,2,2,0,1,gen_cond
182,4,7,1,2,2,0,1,train_cond
183,4,7,1,1,2,2,1,train_cond
184,4,3,1,1,2,2,1,gen_cond
185,4,5,2,1,2,2,1,gen_cond
186,4,4,2,1,2,2,1,gen_cond
187,4,6,2,2,2,0,1,gen_cond
188,4,1,2,3,2,2,1,train_cond
189,4,2,1,3,2,2,1,gen_cond
190,4,6,1,2,2,0,1,gen_cond
191,4,6,1,3,2,2,1,gen_cond
192,4,3,1,4,2,0,1,gen_cond
193,4,7,1,4,2,0,1,train_cond
194,4,7,2,2,2,0,1,train_cond
195,4,4,2,2,2,0,1,gen_cond
196,4,6,1,1,2,2,1,gen_cond
197,4,1,1,1,2,2,1,train_cond
198,4,4,2,3,2,2,1,gen_cond
199,4,6,1,4,2,0,1,gen_cond
200,4,2,2,4,2,0,1,gen_cond
201,4,4,1,1,2,2,1,gen_cond
202,4,2,2,2,2,0,1,gen_cond
203,4,7,2,4,2,0,1,train_cond
204,4,1,1,4,2,0,1,train_cond
205,4,1,1,3,1,3,1,train_cond
206,4,1,2,4,2,0,1,train_cond
207,4,1,1,2,2,0,1,train_cond
208,4,7,2,3,2,2,1,train_cond
209,4,7,1,3,2,2,1,train_cond
210,4,4,2,4,2,0,1,gen_cond
211,4,4,1,2,2,0,1,gen_cond
212,4,1,2,2,2,0,1,train_cond
213,4,6,2,4,2,0,1,gen_cond
214,4,5,2,3,2,2,1,gen_cond
215,4,5,1,3,2,2,1,gen_cond
216,4,5,1,1,2,2,1,gen_cond
217,4,1,2,1,2,2,1,train_cond
218,5,1,1,4,2,0,1,train_cond
219,5,4,1,2,2,0,1,gen_cond
220,5,4,2,3,2,2,2,gen_cond
221,5,6,1,4,2,0,2,gen_cond
222,5,1,1,2,2,0,2,train_cond
223,5,7,1,3,2,2,2,train_cond
224,5,5,2,3,2,2,2,gen_cond
225,5,6,2,1,2,2,2,gen_cond
226,5,6,2,4,2,0,2,gen_cond
227,5,4,2,4,2,0,2,gen_cond
228,5,3,2,1,2,2,2,gen_cond
229,5,7,2,1,2,2,2,train_cond
230,5,5,2,4,2,0,2,gen_cond
231,5,5,1,4,2,0,2,gen_cond
232,5,5,2,1,2,2,2,gen_cond
233,5,3,1,3,2,4,2,gen_cond
234,5,2,1,3,2,2,2,gen_cond
235,5,4,2,1,2,2,2,gen_cond
236,5,1,2,3,2,2,2,train_cond
237,5,2,1,2,2,0,2,gen_cond
238,5,1,2,1,2,2,2,train_cond
239,5,6,1,1,2,2,2,gen_cond
240,5,6,2,2,2,0,2,gen_cond
241,5,3,1,2,2,0,2,gen_cond
242,5,2,2,3,1,3,2,gen_cond
243,5,1,1,3,2,2,2,train_cond
244,5,2,2,4,2,0,2,gen_cond
245,5,5,1,3,2,2,2,gen_cond
246,5,3,1,1,2,2,2,gen_cond
247,5,7,2,2,2,0,2,train_cond
248,5,7,1,4,2,0,2,train_cond
249,5,7,1,2,2,0,2,train_cond
250,5,4,1,4,2,0,2,gen_cond
251,5,3,2,2,2,0,2,gen_cond
252,5,7,1,1,1,1,2,train_cond
253,5,2,2,2,2,0,2,gen_cond
254,5,1,2,4,2,0,2,train_cond
255,5,1,2,2,2,0,2,train_cond
256,5,1,1,1,1,1,2,train_cond
257,5,2,2,1,1,1,2,gen_cond
258,5,5,2,2,2,0,2,gen_cond
259,5,2,1,4,2,0,2,gen_cond
260,5,5,1,2,2,0,2,gen_cond
261,5,6,1,3,1,1,2,gen_cond
262,5,3,2,3,1,1,2,gen_cond
263,5,6,1,2,2,0,2,gen_cond
264,5,2,1,1,2,2,2,gen_cond
265,5,3,1,4,2,0,2,gen_cond
266,5,3,2,4,2,0,2,gen_cond
267,5,4,2,2,2,0,2,gen_cond
268,5,5,1,1,1,1,2,gen_cond
269,5,7,2,3,2,2,2,train_cond
270,5,7,2,4,2,0,2,train_cond
271,5,4,1,1,1,1,2,gen_cond
272,5,4,1,3,1,1,2,gen_cond
273,5,6,2,3,2,2,2,gen_cond
274,6,4,2,3,2,2,2,gen_cond
275,6,6,2,3,2,2,2,gen_cond
276,6,4,1,2,2,0,2,gen_cond
277,6,7,2,4,2,0,2,train_cond
278,6,6,2,4,2,0,2,gen_cond
279,6,2,1,3,2,2,2,gen_cond
280,6,4,2,4,2,0,2,gen_cond
281,6,7,1,4,2,0,2,train_cond
282,6,1,2,3,2,2,2,train_cond
283,6,1,2,4,2,0,2,train_cond
284,6,4,1,4,2,0,2,gen_cond
285,6,5,2,1,2,2,2,gen_cond
286,6,2,1,4,2,0,2,gen_cond
287,6,6,1,1,2,2,2,gen_cond
288,6,2,2,3,2,2,2,gen_cond
289,6,4,2,1,2,2,2,gen_cond
290,6,6,2,2,2,0,2,gen_cond
291,6,1,1,1,2,2,2,train_cond
292,6,5,2,2,2,0,2,gen_cond
293,6,7,1,3,2,2,2,train_cond
294,6,1,2,1,2,2,2,train_cond
295,6,7,2,1,2,2,2,train_cond
296,6,1,1,3,2,2,2,train_cond
297,6,7,2,2,2,0,2,train_cond
298,6,3,1,4,2,0,2,gen_cond
299,6,3,2,2,2,0,2,gen_cond
300,6,7,1,1,1,3,2,train_cond
301,6,2,2,2,2,0,2,gen_cond
302,6,2,1,2,2,0,2,gen_cond
303,6,3,1,2,2,0,2,gen_cond
304,6,1,1,2,2,0,2,train_cond
305,6,3,2,4,2,0,2,gen_cond
306,6,5,1,1,1,1,2,gen_cond
307,6,2,2,4,2,0,2,gen_cond
308,6,3,1,1,2,2,2,gen_cond
309,6,6,2,1,2,2,2,gen_cond
310,6,4,1,3,2,2,2,gen_cond
311,6,7,2,3,2,2,2,train_cond
312,6,4,2,2,2,0,2,gen_cond
313,6,3,1,3,2,2,2,gen_cond
314,6,1,1,4,2,0,2,train_cond
315,6,1,2,2,2,0,2,train_cond
316,6,4,1,1,2,2,2,gen_cond
317,6,5,2,4,2,0,2,gen_cond
318,6,3,2,3,2,2,2,gen_cond
319,6,5,1,4,2,0,2,gen_cond
320,6,5,1,3,2,2,2,gen_cond
321,6,7,1,2,2,0,2,train_cond
322,6,5,2,3,2,2,2,gen_cond
323,6,6,1,4,2,0,2,gen_cond
324,6,2,2,1,2,2,2,gen_cond
325,6,6,1,2,2,0,2,gen_cond
326,6,2,1,1,2,2,2,gen_cond
327,6,3,2,1,2,2,2,gen_cond
328,6,5,1,2,2,0,2,gen_cond
329,7,7,1,4,2,0,3,train_cond
330,7,3,1,1,1,1,3,gen_cond
331,7,2,1,2,2,0,3,gen_cond
332,7,2,2,1,2,2,3,gen_cond
333,7,1,1,2,2,0,2,train_cond
334,7,2,2,3,2,2,3,gen_cond
335,7,1,2,1,2,2,3,train_cond
336,7,6,1,1,2,2,3,gen_cond
337,7,4,2,1,2,2,3,gen_cond
338,7,6,1,3,2,2,3,gen_cond
339,7,5,1,4,2,0,3,gen_cond
340,7,1,1,4,2,0,3,train_cond
341,7,5,2,1,2,2,3,gen_cond
342,7,1,2,3,1,3,3,train_cond
343,7,7,2,4,2,0,3,train_cond
344,7,2,1,4,2,0,3,gen_cond
345,7,6,1,2,2,0,3,gen_cond
346,7,1,2,2,2,0,3,train_cond
347,7,4,2,3,2,2,3,gen_cond
348,7,3,1,4,2,0,3,gen_cond
349,7,3,1,2,2,0,3,gen_cond
350,7,4,2,2,2,0,3,gen_cond
351,7,1,1,1,2,2,3,train_cond
352,7,3,2,4,2,0,3,gen_cond
353,7,2,2,2,2,0,3,gen_cond
354,7,6,2,1,2,2,3,gen_cond
355,7,7,2,3,2,2,3,train_cond
356,7,6,2,3,2,2,3,gen_cond
357,7,3,2,1,1,1,3,gen_cond
358,7,1,1,3,1,1,3,train_cond
359,7,1,2,4,2,0,3,train_cond
360,7,7,2,1,1,1,3,train_cond
361,7,3,2,3,2,2,3,gen_cond
362,7,4,1,4,2,0,3,gen_cond
363,7,7,2,2,2,0,3,train_cond
364,7,3,1,3,2,2,3,gen_cond
365,7,6,1,4,2,0,3,gen_cond
366,7,5,1,3,2,2,3,gen_cond
367,7,2,2,4,2,0,3,gen_cond
368,7,4,1,1,2,2,3,gen_cond
369,7,4,1,2,2,0,3,gen_cond
370,7,4,1,3,2,2,3,gen_cond
371,7,5,2,3,2,2,3,gen_cond
372,7,5,2,4,2,0,3,gen_cond
373,7,5,1,2,2,0,3,gen_cond
374,7,2,1,1,2,2,3,gen_cond
375,7,7,1,1,2,2,3,train_cond
376,7,7,1,2,2,0,3,train_cond
377,7,6,2,2,2,0,3,gen_cond
378,7,2,1,3,2,2,3,gen_cond
379,7,6,2,4,2,0,3,gen_cond
380,7,4,2,4,2,0,3,gen_cond
381,7,7,1,3,2,2,3,train_cond
382,7,3,2,2,2,0,3,gen_cond
383,8,5,1,3,2,2,3,gen_cond
384,8,7,2,2,2,0,3,train_cond
385,8,6,2,4,2,0,3,gen_cond
386,8,4,2,1,2,2,3,gen_cond
387,8,5,2,3,1,1,3,gen_cond
388,8,5,1,4,2,0,3,gen_cond
389,8,4,1,4,2,0,3,gen_cond
390,8,1,1,4,2,0,3,train_cond
391,8,1,2,2,2,0,3,train_cond
392,8,2,2,2,2,0,3,gen_cond
393,8,3,1,4,2,0,3,gen_cond
394,8,1,2,3,2,2,3,train_cond
395,8,2,1,1,2,2,3,gen_cond
396,8,7,1,3,2,2,3,train_cond
397,8,6,1,1,2,2,3,gen_cond
398,8,2,1,4,2,0,3,gen_cond
399,8,1,2,4,2,0,3,train_cond
400,8,1,2,1,2,2,3,train_cond
401,8,7,2,1,2,2,3,train_cond
402,8,2,2,4,2,0,3,gen_cond
403,8,7,1,4,2,0,3,train_cond
404,8,3,2,4,2,0,3,gen_cond
405,8,5,1,1,2,2,3,gen_cond
406,8,6,1,2,2,0,3,gen_cond
407,8,3,2,3,2,2,3,gen_cond
408,8,3,2,2,2,0,3,gen_cond
409,8,6,1,4,2,0,3,gen_cond
410,8,7,2,3,2,2,3,train_cond
411,8,6,2,2,2,0,3,gen_cond
412,8,5,2,1,2,2,3,gen_cond
413,8,5,1,2,2,0,3,gen_cond
414,8,4,2,2,2,0,3,gen_cond
415,8,2,2,3,2,2,3,gen_cond
416,8,3,1,2,2,0,3,gen_cond
417,8,3,2,1,2,2,3,gen_cond
418,8,4,1,3,2,2,3,gen_cond
419,8,3,1,1,2,2,3,gen_cond
420,8,6,2,3,2,2,3,gen_cond
421,8,4,1,1,2,2,3,gen_cond
422,8,1,1,1,2,2,3,train_cond
423,8,2,1,3,2,2,3,gen_cond
424,8,3,1,3,2,2,3,gen_cond
425,8,2,2,1,2,2,3,gen_cond
426,8,6,2,1,2,2,3,gen_cond
427,8,1,1,2,2,0,3,train_cond
428,8,7,2,4,2,0,3,train_cond
429,8,4,1,2,2,0,3,gen_cond
430,8,4,2,3,2,2,3,gen_cond
431,8,2,1,2,2,0,3,gen_cond
432,8,7,1,1,2,2,3,train_cond
433,8,5,2,2,2,0,3,gen_cond
434,8,4,2,4,2,0,3,gen_cond
435,8,5,2,4,2,0,3,gen_cond
436,8,7,1,2,2,0,3,train_cond
437,8,1,1,3,2,2,3,train_cond
438,8,6,1,3,2,2,3,gen_cond
439,9,4,2,3,2,2,4,gen_cond
440,9,4,2,4,2,0,4,gen_cond
441,9,4,1,1,2,2,4,gen_cond
442,9,3,1,1,2,2,4,gen_cond
443,9,7,1,1,2,2,4,train_cond
444,9,4,1,3,2,2,4,gen_cond
445,9,1,1,3,2,2,3,train_cond
446,9,4,2,1,2,2,4,gen_cond
447,9,5,2,2,2,0,4,gen_cond
448,9,1,2,2,2,0,4,train_cond
449,9,7,1,3,2,2,4,train_cond
450,9,5,2,3,2,2,4,gen_cond
451,9,3,2,1,2,2,4,gen_cond
452,9,7,2,2,2,0,4,train_cond
453,9,2,1,3,1,1,4,gen_cond
454,9,6,2,4,2,0,4,gen_cond
455,9,4,1,2,2,0,4,gen_cond
456,9,5,1,4,2,0,4,gen_cond
457,9,4,2,2,2,0,4,gen_cond
458,9,1,2,3,1,1,4,train_cond
459,9,6,2,2,2,0,4,gen_cond
460,9,6,1,4,2,0,4,gen_cond
461,9,2,1,2,2,0,4,gen_cond
462,9,1,2,1,2,2,4,train_cond
463,9,3,1,4,2,0,4,gen_cond
464,9,5,1,3,2,2,4,gen_cond
465,9,5,1,2,2,0,4,gen_cond
466,9,4,1,4,2,0,4,gen_cond
467,9,6,2,1,2,2,4,gen_cond
468,9,1,2,4,2,0,4,train_cond
469,9,5,2,4,2,0,4,gen_cond
470,9,7,1,2,2,0,4,train_cond
471,9,3,2,3,2,2,4,gen_cond
472,9,2,1,1,2,2,4,gen_cond
473,9,3,1,2,2,0,4,gen_cond
474,9,5,1,1,2,2,4,gen_cond
475,9,5,2,1,1,1,4,gen_cond
476,9,3,2,4,2,0,4,gen_cond
477,9,6,1,2,2,0,4,gen_cond
478,9,3,1,3,1,3,4,gen_cond
479,9,2,2,3,2,2,4,gen_cond
480,9,1,1,1,2,2,4,train_cond
481,9,1,1,2,2,0,4,train_cond
482,9,7,2,3,2,2,4,train_cond
483,9,7,2,4,2,0,4,train_cond
484,9,3,2,2,2,0,4,gen_cond
485,9,6,1,1,2,2,4,gen_cond
486,9,2,1,4,2,0,4,gen_cond
487,9,2,2,1,1,3,4,gen_cond
488,9,1,1,4,2,0,4,train_cond
489,9,7,2,1,2,2,4,train_cond
490,9,7,1,4,2,0,4,train_cond
491,9,6,1,3,2,2,4,gen_cond
492,9,2,2,4,2,0,4,gen_cond
493,9,6,2,3,2,2,4,gen_cond
494,9,2,2,2,2,0,4,gen_cond
495,10,6,2,2,2,0,4,gen_cond
496,10,4,1,2,2,0,4,gen_cond
497,10,7,2,3,1,3,4,train_cond
498,10,6,2,3,2,2,4,gen_cond
499,10,4,2,2,2,0,4,gen_cond
500,10,7,2,2,2,0,4,train_cond
501,10,2,2,1,1,3,4,gen_cond
502,10,3,2,2,2,0,4,gen_cond
503,10,1,1,3,2,2,4,train_cond
504,10,5,1,2,2,0,4,gen_cond
505,10,4,2,4,2,0,4,gen_cond
506,10,4,1,1,2,4,4,gen_cond
507,10,5,1,4,2,0,4,gen_cond
508,10,6,1,2,2,0,4,gen_cond
509,10,5,2,2,2,0,4,gen_cond
510,10,3,2,1,2,2,4,gen_cond
511,10,5,1,3,2,2,4,gen_cond
512,10,4,2,1,2,2,4,gen_cond
513,10,5,1,1,2,2,4,gen_cond
514,10,2,1,4,2,0,4,gen_cond
515,10,6,2,1,1,1,4,gen_cond
516,10,7,1,1,2,2,4,train_cond
517,10,2,2,2,2,0,4,gen_cond
518,10,5,2,3,2,2,4,gen_cond
519,10,1,1,4,2,0,4,train_cond
520,10,2,1,1,1,3,4,gen_cond
521,10,1,2,1,1,1,4,train_cond
522,10,6,1,3,2,2,4,gen_cond
523,10,6,2,4,2,0,4,gen_cond
524,10,7,2,1,2,2,4,train_cond
525,10,4,2,3,2,2,4,gen_cond
526,10,7,1,2,2,0,4,train_cond
527,10,5,2,1,2,2,4,gen_cond
528,10,4,1,3,2,2,4,gen_cond
529,10,6,1,1,2,2,4,gen_cond
530,10,3,1,3,2,2,4,gen_cond
531,10,6,1,4,2,0,4,gen_cond
532,10,7,1,4,2,0,4,train_cond
533,10,2,2,4,2,0,4,gen_cond
534,10,1,2,3,1,1,4,train_cond
535,10,1,1,2,2,0,4,train_cond
536,10,1,1,1,1,1,4,train_cond
537,10,2,1,2,2,0,4,gen_cond
538,10,3,1,1,1,1,4,gen_cond
539,10,7,2,4,2,0,4,train_cond
