trial,block,snr_level,vowel,questtype,respside,response,cv_fold,role
0,1,4,2,4,2,0,0,gen_cond
1,1,6,1,1,2,2,0,train_cond
2,1,3,2,2,2,0,0,gen_cond
3,1,2,2,2,2,0,0,gen_cond
4,1,7,2,3,2,2,-1,excluded
5,1,4,1,2,2,0,0,gen_cond
6,1,4,2,3,1,3,0,gen_cond
7,1,5,1,2,2,0,0,gen_cond
8,1,6,1,4,2,0,0,train_cond
9,1,5,1,3,2,2,0,gen_cond
10,1,7,1,2,2,0,-1,excluded
11,1,5,2,4,2,0,0,gen_cond
12,1,7,1,1,2,2,-1,excluded
13,1,5,2,3,1,1,0,gen_cond
14,1,4,2,1,1,3,0,gen_cond
15,1,7,1,4,2,0,-1,excluded
16,1,5,1,1,1,1,0,gen_cond
17,1,3,2,4,2,0,0,gen_cond
18,1,6,2,4,2,0,0,train_cond
19,1,6,1,3,1,1,0,train_cond
20,1,1,1,4,2,0,0,train_cond
21,1,2,1,4,2,0,0,gen_cond
22,1,4,1,4,2,0,0,gen_cond
23,1,3,2,3,2,2,0,gen_cond
24,1,3,1,3,1,1,0,gen_cond
25,1,2,1,2,2,0,0,gen_cond
26,1,1,1,1,2,2,0,train_cond
27,1,7,2,4,2,0,-1,excluded
28,1,6,2,1,2,2,0,train_cond
29,1,1,2,2,2,0,0,train_cond
30,1,1,1,3,1,3,0,train_cond
31,1,4,2,2,2,0,0,gen_cond
32,1,1,2,4,2,0,0,train_cond
33,1,4,1,1,2,4,0,gen_cond
34,1,2,1,1,1,3,0,gen_cond
35,1,2,2,1,2,4,0,gen_cond
36,1,3,1,4,2,0,0,gen_cond
37,1,2,1,3,1,3,0,gen_cond
38,1,2,2,4,2,0,0,gen_cond
39,1,7,2,2,2,0,-1,excluded
40,1,3,1,2,2,0,0,gen_cond
41,1,1,1,2,2,0,0,train_cond
42,1,6,2,2,2,0,0,train_cond
43,1,2,2,3,2,2,0,gen_cond
44,1,7,1,3,1,1,-1,excluded
45,1,3,2,1,1,1,0,gen_cond
46,1,6,1,2,2,0,0,train_cond
47,1,5,2,2,2,0,0,gen_cond
48,1,4,1,3,2,2,0,gen_cond
49,1,6,2,3,1,1,0,train_cond
50,1,3,1,1,2,4,0,gen_cond
51,1,5,2,1,1,3,0,gen_cond
52,1,1,2,1,2,2,0,train_cond
53,1,1,2,3,1,1,0,train_cond
54,1,7,2,1,2,2,-1,excluded
55,1,5,1,4,2,0,0,gen_cond
56,2,4,1,4,2,0,0,gen_cond
57,2,5,2,3,1,1,0,gen_cond
58,2,7,1,1,2,4,-1,excluded
59,2,6,1,2,2,0,0,train_cond
60,2,6,1,1,1,1,0,train_cond
61,2,6,2,1,2,2,0,train_cond
62,2,5,1,2,2,0,0,gen_cond
63,2,4,1,3,1,1,0,gen_cond
64,2,6,1,4,2,0,0,train_cond
65,2,5,2,1,2,2,0,gen_cond
66,2,6,2,3,1,3,0,train_cond
67,2,5,1,3,1,3,0,gen_cond
68,2,5,2,4,2,0,0,gen_cond
69,2,4,2,4,2,0,0,gen_cond
70,2,3,2,3,1,3,0,gen_cond
71,2,1,1,4,2,0,0,train_cond
72,2,1,2,2,2,0,0,train_cond
73,2,1,2,3,1,3,0,train_cond
74,2,2,1,4,2,0,0,gen_cond
